First Matrix:
7.3	4	3.2
3.8	2	7.2
7.2	4.2	2.1
6.6	3	7.5
4.1	0.2	3.1
6.2	6.8	5.1
6	8	8.6

Second Matrix:
4.8	7.9	0	3.9	6.3	0.3	8.3
3.4	5.7	5.3	2.5	1.2	0.1	7.5
3.8	7.5	3.9	2.4	1	3.3	7.9

Multiplied Matrix:
60.8	104.47	33.68	46.15	53.99	13.15	115.87
52.4	95.42	38.68	37.1	33.54	25.1	103.42
56.82	96.57	30.45	43.62	52.5	9.51	107.85
70.38	125.49	45.15	51.24	52.68	27.03	136.53
32.14	56.78	13.15	23.93	29.17	11.48	60.02
72.26	125.99	55.93	53.42	52.32	19.37	142.75
88.68	157.5	75.94	64.04	56	30.98	177.74

